Creation_Date;Index_Symbol;Index_Name;Index ISIN;Internal_Key;ISIN;SEDOL;RIC;Instrument_Name;Country;Currency;Exchange;Industry;Supersector;Sector;Subsector;Close_Price;Close_Price_Currency;New_Shares;New_Float;New_CapFactor;New_WeightFactor;New_Mcap_Units;Weights;Index_Membership_Previous;New_Index_Membership;Changes
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;DVN;US25179M1036;2480677;DVN.N;Devon Energy Corp.;US;USD;NYSE;60;6010;601010;60101010;31.1199142;EUR;;;1;176356;5488184;.54882;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;FITB;US3167731005;2336747;FITB.OQ;Fifth Third Bancorp;US;USD;NASDAQ;30;3010;301010;30101010;34.5183304;EUR;;;1;156852;5414269;.54143;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;ED;US2091151041;2216850;ED.N;Consolidated Edison Inc.;US;USD;NYSE;65;6510;651010;65101015;96.3068786;EUR;;;1;55301;5325867;.53259;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;IP;US4601461035;2465254;IP.N;International Paper Co.;US;USD;NYSE;55;5510;551010;55101015;46.3989724;EUR;;;1;112522;5220905;.52209;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;PFG;US74251V1026;2803014;PFG.OQ;Principal Financial Group Inc.;US;USD;NASDAQ;30;3020;302020;30202000;74.1757292;EUR;;;1;70067;5197271;.51973;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;COG;US1270971039;2162340;CTRA.N;COTERRA ENERGY;US;USD;NYSE;60;6010;601010;60101010;24.6085856;EUR;;;1;210698;5184980;.5185;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;SO;US8425871071;2829601;SO.N;Southern Co.;US;USD;NYSE;65;6510;651010;65101015;82.5474374;EUR;;;1;61791;5100689;.51007;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;P;US20825C1045;2685717;COP.N;ConocoPhillips;US;USD;NYSE;60;6010;601010;60101010;88.5890662;EUR;;;1;56487;5004131;.50041;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;FNTG;US31620R3030;BNBRDD4;FNF.N;FNF Group;US;USD;NYSE;30;3030;303020;30302025;58.2151458;EUR;;;1;84664;4928727;.49287;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;AMGN;US0311621009;2023607;AMGN.OQ;Amgen Inc.;US;USD;NASDAQ;20;2010;201030;20103015;287.9351872;EUR;;;1;17068;4914478;.49145;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;GILD;US3755581036;2369174;GILD.OQ;Gilead Sciences Inc.;US;USD;NASDAQ;20;2010;201030;20103015;104.393083;EUR;;;1;42111;4396097;.43961;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;ETR;US29364G1031;2317087;ETR.N;Entergy Corp.;US;USD;NYSE;65;6510;651010;65101015;76.2939832;EUR;;;1;57296;4371340;.43713;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;IBM;US4592001014;2005973;IBM.N;International Business Machine;US;USD;NYSE;10;1010;101010;10101010;226.376884;EUR;;;1;18589;4208120;.42081;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;681075;SG1T75931496;B02PY11;STEL.SI;Singapore Telecommunications L;SG;SGD;Singapore Exchange;15;1510;151020;15102015;;EUR;;;;;;;Y;;Deletion
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;641440;JP3768600003;6414401;1808.T;Haseko Corp.;JP;JPY;Tokyo Stock Exchange;40;4020;402020;40202010;;EUR;;;;;;;Y;;Deletion
